粵語,標準漢語1,標準漢語2
巴閉,小題大作,興師動眾
吧喳,好出主意,好管閑事
爸爸,(不是粵方言詞),
把,掌舵,
把屁,不頂用,
把炮,把握,
把口唔收,嘴沒遮攔,
把心唔定,心大心細,
罷就,(不是粵方言詞),
扒頭,超車,
扒長龍,強盜船搶劫,
扒龍舟,賽龍船,
扒龍船,賽龍船,
螞螂艇,尖頭小艇,
孖,雙生,一對
麻麻地,過得去,勉強
麻鷹,老鷹,鳶
麻鬣,子,
麻甩仔,淘氣、頑皮的小孩,小色鬼
麻甩佬,色鬼,
痲痘,痲疹,天花
馬拉糕,糕點一種,
馬仔,小馬,馬駒子
馬鱭魚,鳳尾魚,
馬騮衣,(沒有對應詞彙),
馬後炮,(不是粵方言詞),
馬標,賽馬票,
榪,(不是粵方言詞),
榪釘,(不是粵方言詞),
碼子,(不是粵方言詞),
花灑,噴水壼,澆花壼
花鼓,(沒有對應詞彙),
花基,臺(磚砌長形),
花會,(沒有對應詞彙),
花,花蕾,蓓蕾
花墩,(沒有對應詞彙),
花臣,(不是粵方言詞),
花王,園丁,花匠
花尾渡,(沒有對應詞彙),
花心,(沒有對應詞彙),
花心蘿蔔,空心蘿蔔,糠蘿蔔
花面貓,(沒有對應詞彙),
花生腳,癟子(口),
花笭仔,(沒有對應詞彙),
花笭女,(沒有對應詞彙),
花筒,(沒有對應詞彙),
化學,不耐用,不結實
打孖,成對,成雙
打牙骹,閑聊,
打個突兀,一怔,
打個框,繞彎兒,
打河,燒鴉片煙泡,
打荷包,偷錢包,
打思肊,打冷嗝兒,
打斧頭,(沒有對應詞彙),
打鼓趁興,順勢,乘興
打鼓邊,助勢,打邊鼓
打敗仗,(不是粵方言詞),
打齋,做法事,
打晒色,當頭兒,做主
打低,打倒,打敗
打仔,打手,
打包,(沒有對應詞彙),
打飽□,打飽嗝,
打交,打架,
打交叉,打叉兒,
打倒椗,將物品倒過來,頭朝下
打對臺,唱對臺戲,
打探,(不是粵方言詞),
打喊路,打哈欠,打呵欠
打沉,打倒,打敗
打掂,直著,豎
打櫼,將楔子打入,加塞兒
打爛齋,開齋,破了齋戒
打關斗,翻跟頭,翻筋斗
打邊爐,吃火鍋兒,圍爐
打線刀,絞臉,
打,勾芡,
打亂種,混血兒(的舊稱),雜種
打旋風,颳旋風,
打冷震,打冷顫,打哆嗦
打,修鞋時釘後掌,
打,(沒有對應詞彙),
打橫,橫著,
打橫打掂,橫七八,橫七八地亂放
打醒精神,提高注意力,提高警惕
打雙,成對,成雙
打杠,打杠子,
打杠架,盤杠子,玩單杠
打仰,仰面睡覺,仰睡
打風,颳大風,刮颱風
打風球,颳颱風,
打工,做工人,
打工妹,(沒有對應詞彙),
打功夫,打拳,練武功
打褶,打褶子,
打嗐嗤,打噴嚏,
打躓,一愣,
打出,裸露出,
打綟,打結,打結兒
打得埋,合得來,打成一片
打赤肋,光著膀子,
打剔,打勾兒,
打色,(引申為)做主,(引申為)拿主意
他佻,心情愉快,悠然自得
挐,同,和
挐挐,藕斷絲連,瓜葛
挐,瓜葛,牽連
,雌性的,母親
喇喇聲,(沒有對應詞彙),
剌,齁兒,
剌,(沒有對應詞彙),
剌喉剌,(沒有對應詞彙),
,(手)抓,撩
埋,任何時候,無論何時
篩,(做事)馬馬虎虎,(做事)敷衍塞責
剌,髒,不乾淨
罅,縫隙,裂縫
,拿,握
拿,把握,
車,駕駛車輛,開車
大葵扇,比喻做媒人,
手,舊時指握手,
水,輕輕洗,涮一涮
頸,忍氣,受氣而不能發泄
黃腳雞,捉奸,
渣野,次貨,劣等貨
渣斗,次,差
皻鼻,酒糟鼻子,
苴,次,差
苴斗,劣,差
詐假意,假裝,佯做
詐呆詐吽,裝傻裝愚笨,
詐嬌,撒嬌,
詐嬌弄嗲,撒嬌,
詐癲賣戇,裝瘋賣傻,
詐癲納福,(沒有對應詞彙),
柵,攔擋,阻斷
柵亂,打斷(別人的話),
秺,把,束
叉燒,烤肉,烤肉條
差一皮,差少許,差一點兒
蹅,(沒有對應詞彙),
茶,茶水,
茶果,小食品,小食
茶樓,酒樓,飯館
茶盅,(沒有對應詞彙),
茶腳,(沒有對應詞彙),
查,審問,查問
岔亂,打斷(別人的話),打岔
岔亂歌柄,打斷別人(唱歌或說話),
奓,(不是粵方言詞),
奓鼻,鼻翅寬,鼻孔大
奓腳,腿向外撇開,
奓膊,寬肩膀,
沙河粉,湯粉,寬米粉條
沙煲兄弟,(沒有對應詞彙),
沙膽,大膽,膽大包天
沙塵,浮誇輕佻,盲目自大
沙塵白攉,浮誇,驕傲自大
沙盆,瓦盆的一種,
沙井,滲井,滲坑
沙蟲,(沒有對應詞彙),
耍把戲,魔術,
耍花槍,(沒有對應詞彙),
耍功夫,打拳,練武功
耍得,有本事,有一手
灑灰水,抹石灰漿,
加把嘴,插嘴,答茬兒
家,專家,精於某種事人
家,家庭,人家
家下,現在,這會兒
家姐,姐姐,
家婆,婆婆,
家持,尼姑庵的庵主,
家俬,家具,
家頭細務,家務事,家務
家嫂,兒媳婦,兒媳
家欄雞,自家養的雞,
家山發,(沒有對應詞彙),
家陣,現在,這會兒
家公,公公,
家用,質量佳的,上好的
嘉魚,一種淡水魚,
假使間,假如,
假石山,園林中的假山,假山
架勢,體面,有氣派
架步,(黑話)手段,辦法
架生,(沒有對應詞彙),
卡,火卡車,
卡口,關卡,
牙齒當金使,一諾千金,(喻)講信用
牙屎,牙垢,
牙骹,牙床骨,牙床
牙煙,危險,很懸
牙譫譫,喋喋不休,亂說一氣
牙擦,自視甚高,看不起人
牙力,權威,威信
瓦煲,沙鍋,
瓦鐺,扁沙鍋,
瓦桁,(沒有對應詞彙),
枒,(沒有對應詞彙),
枒手枒腳,礙手礙腳,
枒碇,(沒有對應詞彙),
,霸道,
蝦膠,(不是粵方言詞),
蝦,(不是粵方言詞),
謑,欺負,
謑霸,欺負,
霞霧,浮躁,魯莽
下水船,(不是粵方言詞),
下晝,下午,
下啖氣,出氣,消氣
啞,(沒有對應詞彙),
阿爸,父親,
阿媽,母親,
阿,祖母,
阿叉,印度男人,
阿家,姐姐,
阿啞,啞人,啞巴
阿瓜,闊少爺,
阿爹,父親,
阿姐,庶母,
阿姐,姐姐,
阿爺,祖父,
阿婆,外祖母,
阿婆髻,(沒有對應詞彙),
阿傻,傻瓜,傻子
阿哥,兄,
阿姨,姨姨,
阿姑,小女孩子,
阿大,(沒有對應詞彙),
阿大,老大,
阿奶,(沒有對應詞彙),
阿跛,瘸子,跛子
阿仔,(沒有對應詞彙),
阿肥,胖子,肥胖者
阿妹,妹妹,
阿斗官,闊少爺,敗家子
阿頭,領頭者,頭目
阿壽,笨人,
阿舅,(沒有對應詞彙),
阿母,(沒有對應詞彙),
阿嫂,嫂子,
阿女,(沒有對應詞彙),
阿嬸,叔父之妻,
阿妗,(沒有對應詞彙),
