id,粵語,詞彙類別,粵語拼音,聲調,標準漢語1,標準漢語2,備註
1,巴閉,形容詞,baa bai,巴1閉3,小題大作,興師動眾,
2,吧喳,形容詞,baa zaa,吧1喳1,好出主意,好管閑事,
3,爸爸,稱謂,baa baa,爸1*4爸1,(不是粵方言詞),,(不是粵方言詞)
4,把,動詞,baa taai,把25,掌舵,,
5,把屁,形容詞,baa pei,把2屁3,不頂用,,
6,把炮,形容詞,baa paau,把2炮3,把握,,
7,把口唔收,動詞,baa hau m1 sau,把2口2唔4收1,嘴沒遮攔,,
8,把心唔定,動詞,baa sam m1 ding,把2心1唔4定6,心大心細,,
9,罷就,副詞,baa zau,罷6就6,(不是粵方言詞),,
10,扒頭,商業、交通,paa tau,扒4頭4,超車,,
11,扒長龍,動詞,paa coeng lung,扒4長4龍4,強盜船搶劫,,舊時指強盜船搶劫
12,扒龍舟,動詞,paa lung zau,扒4龍4舟1,賽龍船,,
13,扒龍船,動詞,paa lung syun,扒4龍4船4,賽龍船,,
14,螞螂艇,商業、交通,maa lang teng,螞1螂1艇5,尖頭小艇,,
15,孖,其他,maa,孖1,雙生,一對,
16,麻麻地,形容詞,maa maa dei,麻4麻4*2地6*2,過得去,勉強,
17,麻鷹,動物,maa jing,麻4鷹1,老鷹,鳶,
18,麻鬣,其他,maa lip,麻4鬣3,子,,
19,麻甩仔,稱謂,maa lat zai,麻4甩7仔2,淘氣、頑皮的小孩,小色鬼,
20,麻甩佬,稱謂,maa lat lou,麻4甩7佬2,色鬼,,喜挑逗、調戲女性的男人
21,痲痘,其他,maa dau,痲4痘6*2,痲疹,天花,
22,馬拉糕,飲食,maa laai gou,馬5拉1糕1,糕點一種,,
23,馬仔,植物、糧菜、果品,maa zai,馬5仔2,小馬,馬駒子,
24,馬鱭魚,動物,maa cai jyu,馬5鱭5魚4*2,鳳尾魚,,
25,馬騮衣,服飾,maa lau ji,馬5騮1衣1,(沒有對應詞彙),,(含貶義)又短又窄的、不合身的衣服
26,馬後炮,其他,maa hau paau,馬5後6炮6,(不是粵方言詞),,"喻事情已發生,再想改也無力。不是粵語方言詞。"
27,馬標,文化、娛樂,maa biu,馬5標1,賽馬票,,
28,榪,動詞,maa,榪5,(不是粵方言詞),,
29,榪釘,工具、材料,maa deng,榪5釘1,(不是粵方言詞),,
30,碼子,其他,maa zi,碼5子2,(不是粵方言詞),,
31,花灑,家具、日常用品,faa saa,花1灑2,噴水壼,澆花壼,(澆花用)
32,花鼓,文化、娛樂,faa gu,花1鼓2,(沒有對應詞彙),,"中空的瓷製墩子,外形似鼓"
33,花基,工具、材料,faa gei,花1基1,臺(磚砌長形),,
34,花會,文化、娛樂,faa wui,花55會22*35,(沒有對應詞彙),,舊時賭博一種
35,花,植物、糧菜、果品,faa lam,花11,花蕾,蓓蕾,"同"""""""""
36,花墩,工具、材料,faa dan,花1墩2,(沒有對應詞彙),,放置花盆的磚砌墩子
37,花臣,其他,faa san,花1臣2,(不是粵方言詞),,非粵方言詞
38,花王,稱謂,faa wong,花1王4,園丁,花匠,
39,花尾渡,商業、交通,faa mei dou,花1尾5渡6*2,(沒有對應詞彙),,"1.尾部有彩色花紋的內河航行渡船,由小火輪船拖行。2.一種無動力內河客船,同""""花尾"""""
40,花心,形容詞,faa sam,花1心1,(沒有對應詞彙),,"1.喻愛情不專一,見異思遷。2.不專心一意,男子在感情上不專一。同""""心多多"""""
